Category breakdown,2009-10 ,2010-11 ,2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 ,2019-20,2020-21 ,2021-22 ,2022-23 
Circulation problems Total,459837.0212,464444.9564,453723.7454,442289.2257,431297.5889,445582.4601,456145.9611,468933.6546,482332.1127,504113.6312,553099.0097,622049.0513,651640.7413,705500.554
Coronary Heart Disease ,180115.7398,170237.3794,162256.7516,128444.0846,116345.7593,114570.175,105700.2768,112937.4431,104550.1084,101073.0442,102244.3399,117000.5814,118831.9791,117575.2617
Cerebrovascular disease ,73134.65531,71850.99114,75272.97057,80448.74298,81735.49295,83862.35441,84992.80511,86197.23725,87731.31978,90306.00242,97537.6392,122600.9873,122315.6542,133305.2331
Other problems of circulation,206587.3607,222356.5859,216194.0232,233395.6786,233216.3367,247149.9307,265452.8792,269798.9743,290050.6846,312734.5846,353317.0306,382447.4825,410493.108,454620.0592
Respiratory problems Total,338337.3712,349257.2816,354673.5639,361766.4097,363487.7393,387025.3669,406502.8172,432147.5277,419501.3471,430669.9712,461138.8942,404405.2605,452804.9848,518325.3497
Dental problems Total,187870.2517,188349.5564,184004.6932,186718.4338,182118.4212,184104.132,200385.1493,199040.84,198929.5134,201704.8089,211589.5366,218306.9174,247522.1492,237729.0847
Gastro intestinal problems Total,299618.0061,304548.2808,314411.7589,302966.5967,314925.1926,339304.286,365453.4533,386886.3906,372810.2512,403249.648,439749.8787,507123.9687,526352.8146,581502.6506
Skin problems Total,103110.3586,106208.4748,108037.0543,128316.9472,134065.4027,132988.9252,138861.4716,144531.9845,140287.1204,147812.7221,155358.0082,163370.4972,168672.2604,188050.1105
Musculo skeletal system problems (exc Trauma) Total,331505.5898,334850.4469,355409.0542,345776.6554,342629.4275,352709.3311,357783.7851,377494.3509,366445.1698,378977.8268,395842.8391,308185.508,378606.533,427043.3937
Trauma & injuries (inc burns) Total,368930.5198,377076.3984,357931.5479,367449.535,393184.761,416919.1662,440429.3738,450492.1876,457036.9177,484546.6928,539496.6657,666864.0653,689615.999,739083.329
Genito Urinary system disorders (exc infertility) Total,232446.3524,258222.8973,262804.566,269825.8062,277401.773,293973.038,318100.4074,322324.6755,304541.5391,319448.7899,329678.7337,345941.3607,367981.4565,397688.5581
Genital tract problems ,104889.4866,108831.3277,110872.2651,61406.62538,60144.58597,59623.41027,66252.00106,66975.09623,70817.37242,69814.43765,73744.85102,60898.07695,79620.76733,85199.64153
Renal problems ,17656.1559,27076.09681,20869.18186,72722.82787,80858.72112,86437.64375,92346.89771,102584.5941,101867.463,108667.8387,116352.1012,131233.1823,137468.2285,144975.7557
Chronic renal failure,35285.51563,35102.94639,39392.69762,0,0,0,0,0,0,0,0,0,0,0
Sexually transmitted infections,0,0,0,15777.14895,17604.43028,16785.50233,17750.075,7103.548932,4995.609586,5216.731777,5475.364546,6593.652049,6517.023343,7740.286236
Other problems of the genito urinary system ,74615.19419,87212.52639,91670.42143,119919.204,118794.0356,131126.4816,141751.4336,145661.4363,126861.094,135749.7818,134106.4169,147216.4493,144375.4374,159772.8747
Maternity & reproductive health Total,183692.9922,192001.445,191552.0008,178287.2603,188959.032,192323.8153,200809.0767,208742.6988,215579.5854,223343.2507,235069.2323,294102.3287,274971.9294,287462.6334
Neonates Total,44929.23481,43344.517,45756.06735,48853.91681,50075.85575,48981.84435,54332.08796,56138.51691,53167.65127,56373.67649,62263.59408,77293.43124,71164.39161,74754.76792
Poisoning Total,61569.28631,61897.48556,62481.99879,64844.65761,66579.84722,65417.76261,68835.08173,72239.58715,68817.12422,68537.40682,73341.07468,84413.47267,78419.17015,84946.98411
Healthy individuals (includes Screening) Total,137957.7505,142607.229,146558.1106,121088.6195,114629.2895,109167.5423,112298.7372,132157.9011,124182.5237,135003.8475,146357.1017,195030.0453,260352.6247,260972.9557
Social care needs Total,47942.9295,44077.15521,42851.30254,45146.12647,49110.48601,50022.90434,57899.02448,59205.80606,61919.39405,66883.04671,73429.35018,79447.25109,80370.33939,83108.8968
Other Total,759532.7219,763336.4605,775752.5783,763550.8984,767116.7901,790438.6559,834147.2846,864285.0029,953096.214,986313.463,1040824.521,1106637.648,1245662.772,1245397.246
General medical services,360506.2216,329471.274,328289.4197,341964.7585,334185.5332,361690.2595,368476.357,374276.7284,405596.2643,435595.6555,437412.0877,498703.5454,521852.3474,524893.2032
Open access,64790.13911,69837.43755,82225.1365,82241.10279,82267.64919,80733.39814,82924.89042,86098.95282,80558.56937,81568.75803,81699.99908,84754.60509,97008.29726,112200.3012
Continuing care,162265.4592,150407.3478,123001.8368,128677.4341,116502.0975,123337.8764,126593.7055,134011.1248,141164.7595,144759.326,132144.72,157803.4357,155892.5865,145168.1504
Other PHW functions,0,25240,27186.313,42422.899,70814,73463,76745,61512,68719,74410.08041,83737.47449,74201.776,107967.4271,129918.008
Other expenditure,171970.902,188380.4011,215049.8722,168245.1962,163347.5102,151214.1218,179407.3317,208386.1969,257057.6208,249979.643,305830.24,291174.2859,362942.1135,333217.5833
